EmployeeNumber,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,DateBirth,RemoteWork,SatisfactionLevel
436,32,No,Travel_Rarely,Unknown,8,2,Technical Degree,3,Female,2,2, Sales Executive ,2,Married,6477,24624,1,Yes,11,3,4,0,Unknown,2,3,13,11,9,1991,Yes,B
1527,46,No,Travel_Rarely,Unknown,3,3,Life Sciences,3,Female,3,4, Manager ,2,Unknown,6477,11380,8,No,12,3,4,1,23,2,4,13,5,1,1977,Yes,B
1866,43,No,Travel_Rarely,Unknown,6,3,Medical,1,Female,2,5, Manager ,3,Married,6477,22539,7,No,13,3,4,0,21,2,3,16,6,14,1980,Yes,A
2026,56,No,Non-Travel,Unknown,1,4,Life Sciences,3,Male,3,2, Healthcare Representative ,3,Divorced,6477,26236,1,No,21,3,1,1,Unknown,2,2,13,1,9,1967,Yes,A
107,38,No,Travel_Rarely,Unknown,6,3,Medical,2,Female,1,2, Research Scientist ,4,Unknown,6477,15717,7,No,12,3,4,3,17,3,3,13,1,9,1985,Yes,A
170,49,No,Travel_Rarely,Unknown,26,4,Medical,3,Female,3,2, Manufacturing Director ,1,Unknown,6477,5549,1,No,14,3,3,0,16,2,2,15,5,11,1974,No,B
215,40,No,Travel_Rarely,Unknown,4,4,Unknown,3,Male,2,3, Sales Executive ,4,Married,10855,8552,7,No,11,3,1,1,15,2,2,12,2,11,1983,Yes,A
304,36,No,Travel_Rarely,Unknown,5,2,Unknown,4,Male,3,2, Laboratory Technician ,2,Single,5914,9945,8,No,16,3,4,0,16,3,4,13,3,7,1987,Yes,B
529,37,No,Travel_Rarely,Unknown,25,5,Unknown,2,Female,3,2, Research Scientist ,3,Married,6477,23866,3,Yes,15,3,1,2,15,2,3,13,10,7,1986,No,A
691,35,No,Travel_Rarely,Unknown,6,4,Unknown,2,Male,1,2, Research Scientist ,4,Unknown,6646,19368,1,No,13,3,2,0,Unknown,3,3,17,11,8,1988,Yes,A
692,33,No,Travel_Frequently,Unknown,6,3,Life Sciences,3,Male,3,2, Healthcare Representative ,4,Divorced,6477,5335,3,No,23,4,3,1,15,2,1,13,4,7,1990,No,A
1005,50,No,Travel_Rarely, Research & Development ,24,3,Unknown,4,Male,3,4, Manufacturing Director ,3,Married,13973,4161,3,Yes,18,3,4,1,22,2,3,12,1,5,1973,No,A
1024,48,No,Travel_Rarely,Unknown,4,4,Unknown,3,Male,2,3, Healthcare Representative ,3,Single,6477,22245,7,No,14,3,2,0,27,3,3,15,4,8,1975,Yes,A
1039,44,No,Travel_Rarely, Sales ,28,3,Unknown,4,Female,4,4, Sales Executive ,4,Married,13320,11737,3,No,18,3,3,1,Unknown,2,3,12,11,11,1979,Yes,A
1225,44,No,Travel_Rarely,Unknown,29,4,Unknown,4,Male,3,2, Research Scientist ,4,Single,6477,7744,1,No,25,4,2,0,Unknown,3,3,20,13,17,1979,Yes,A
1375,40,No,Travel_Rarely,Unknown,25,1,Unknown,3,Female,4,2, Healthcare Representative ,3,Unknown,6477,13888,5,No,20,4,2,3,15,0,3,12,11,8,1983,Yes,A
1661,49,No,Travel_Rarely,Unknown,6,1,Life Sciences,3,Female,2,4, Healthcare Representative ,3,Unknown,6477,11652,2,No,19,3,2,1,Unknown,3,3,15,2,12,1974,Yes,A
1668,38,No,Travel_Frequently,Unknown,1,3,Life Sciences,4,Male,3,2, Research Scientist ,4,Unknown,4735,9867,7,No,15,3,4,2,19,4,3,13,2,9,1985,Yes,A
1698,33,No,Travel_Rarely,Unknown,21,3,Unknown,2,Male,4,1, Laboratory Technician ,2,Unknown,6477,13637,1,No,18,3,4,3,14,6,3,14,2,13,1990,Yes,B
1937,38,No,Travel_Rarely, Research & Development ,8,3,Unknown,4,Female,2,2, Research Scientist ,2,Divorced,6477,18115,1,No,16,3,3,1,20,3,3,20,0,7,1985,No,B
2017,37,No,Travel_Rarely,Unknown,10,3,Life Sciences,3,Female,4,3, Research Director ,4,Unknown,6477,15471,1,Yes,25,4,1,1,16,2,3,16,6,8,1986,Yes,A
117,30,No,Travel_Rarely,Unknown,2,3,Unknown,3,Male,2,2, Healthcare Representative ,4,Married,6477,15830,1,No,19,3,1,3,11,3,3,11,10,8,1993,Yes,A
131,58,No,Travel_Rarely,Unknown,18,4,Unknown,4,Male,3,4, Sales Executive ,3,Single,13872,24409,0,No,13,3,3,0,38,1,2,37,1,8,1965,Yes,A
153,34,No,Travel_Rarely,Unknown,5,3,Unknown,3,Female,2,3, Manager ,1,Single,6477,5615,2,No,12,3,4,0,14,6,3,11,5,8,1989,No,B
899,35,No,Travel_Rarely,Unknown,25,3,Technical Degree,4,Male,2,3, Manufacturing Director ,2,Married,6477,9129,3,No,16,3,1,0,Unknown,2,3,13,4,8,1988,No,B
1014,35,No,Travel_Rarely, Research & Development ,25,4,Unknown,3,Female,3,3, Healthcare Representative ,3,Divorced,6477,6975,1,Yes,11,3,3,1,Unknown,3,2,16,10,1,1988,Yes,A
1117,45,No,Travel_Rarely, Sales ,9,4,Life Sciences,2,Female,2,2, Sales Executive ,3,Married,6477,17970,1,No,13,3,4,1,15,2,3,15,4,12,1978,No,A
1238,33,No,Travel_Rarely, Research & Development ,9,3,Medical,1,Male,3,1, Research Scientist ,4,Married,6477,6311,0,No,13,3,2,1,15,5,3,14,4,10,1990,No,A
1277,45,Yes,Travel_Rarely,Unknown,13,3,Marketing,1,Female,1,5, Manager ,2,Unknown,6477,2493,2,Yes,16,3,1,0,26,2,3,24,1,11,1978,Yes,B
1666,43,No,Travel_Rarely, Research & Development ,15,2,Unknown,3,Male,2,4, Research Director ,3,Unknown,6477,3525,1,No,24,4,1,1,Unknown,3,3,14,6,11,1980,Yes,A
1696,34,No,Travel_Rarely,Unknown,5,2,Medical,2,Male,2,2, Laboratory Technician ,4,Unknown,6477,11912,1,No,14,3,3,1,Unknown,3,3,15,4,13,1989,No,A
1805,38,No,Travel_Rarely,Unknown,2,3,Unknown,1,Male,3,1, Human Resources ,2,Divorced,6477,7129,5,No,13,3,4,3,13,3,3,11,3,8,1985,Yes,B
1932,34,No,Travel_Rarely, Research & Development ,22,4,Other,3,Male,2,2, Research Scientist ,4,Married,5747,26496,1,Yes,15,3,2,0,16,3,3,15,6,11,1989,No,A
2016,32,No,Travel_Rarely,Unknown,31,4,Unknown,3,Female,3,3, Sales Executive ,4,Unknown,10422,24032,1,No,19,3,3,2,14,3,3,14,5,7,1991,Yes,A
20,29,No,Travel_Rarely,Unknown,21,4,Life Sciences,2,Female,4,3, Manufacturing Director ,1,Divorced,6477,10195,1,No,11,3,3,1,10,1,3,10,8,8,1994,No,B
184,30,No,Travel_Rarely, Human Resources ,9,3,Unknown,3,Male,3,2, Human Resources ,4,Married,6347,13982,0,Yes,19,3,4,0,Unknown,2,1,11,4,7,1993,No,A
206,45,No,Travel_Rarely,Unknown,9,3,Life Sciences,2,Male,3,2, Laboratory Technician ,2,Unknown,2348,10901,8,No,18,3,3,1,20,2,3,17,0,15,1978,Yes,B
228,30,No,Travel_Rarely,Unknown,5,3,Unknown,2,Female,3,3, Sales Executive ,4,Unknown,6477,8053,2,No,12,3,3,1,Unknown,2,3,10,7,4,1993,Yes,A
239,30,No,Travel_Rarely,Unknown,9,3,Unknown,3,Male,3,2, Laboratory Technician ,1,Unknown,3072,11012,1,No,11,3,3,2,12,4,3,12,6,10,1993,Yes,B
256,34,No,Travel_Frequently,Unknown,29,1,Unknown,4,Male,2,2, Manufacturing Director ,3,Married,6477,14074,1,No,17,3,3,0,10,2,2,10,1,9,1989,No,A
339,34,No,Travel_Rarely,Unknown,39,4,Life Sciences,3,Male,2,2, Manufacturing Director ,1,Unknown,6477,23687,6,No,13,3,2,1,13,3,3,11,5,9,1989,Yes,B
406,35,No,Travel_Rarely,Unknown,16,3,Unknown,3,Male,3,3, Sales Executive ,2,Married,8020,5100,0,No,15,3,3,2,12,3,2,11,6,9,1988,Yes,B
429,39,No,Travel_Rarely,Unknown,10,1,Unknown,3,Male,3,4, Manager ,1,Married,17068,5355,1,No,14,3,4,0,21,3,3,21,11,10,1984,Yes,B
444,39,No,Travel_Rarely, Research & Development ,7,2,Unknown,3,Male,2,5, Manager ,4,Married,19272,21141,1,No,15,3,1,1,Unknown,2,3,21,13,3,1984,Yes,A
452,45,No,Travel_Rarely,Unknown,8,4,Unknown,4,Male,3,2, Research Scientist ,4,Unknown,6477,9278,9,No,14,3,1,2,12,3,3,10,9,8,1978,Yes,A
456,30,No,Travel_Rarely, Sales ,5,3,Marketing,4,Female,2,2, Sales Executive ,3,Unknown,6477,5431,1,No,13,3,3,3,10,2,3,10,1,2,1993,Yes,A
481,36,No,Travel_Rarely,Unknown,3,4,Medical,1,Male,2,3, Sales Executive ,4,Married,6477,7246,4,No,11,3,1,1,16,2,3,13,1,12,1987,Yes,A
513,36,No,Travel_Rarely,Unknown,2,2,Unknown,2,Male,2,3, Sales Executive ,3,Married,6477,3809,1,No,13,3,2,2,10,2,3,10,9,0,1987,Yes,A
597,55,No,Travel_Rarely,Unknown,18,5,Unknown,1,Female,3,4, Manager ,2,Single,6477,9873,3,No,23,4,4,0,37,2,3,10,7,7,1968,Yes,B
600,35,No,Travel_Rarely,Unknown,1,3,Unknown,2,Male,3,2, Sales Executive ,3,Unknown,6477,18659,9,No,11,3,3,0,15,2,3,11,6,9,1988,Yes,A
630,52,No,Travel_Rarely,Unknown,6,2,Unknown,4,Male,3,2, Research Scientist ,1,Divorced,5577,22087,3,Yes,12,3,2,2,18,3,3,10,6,9,1971,Yes,B
638,49,No,Travel_Rarely,Unknown,18,4,Life Sciences,4,Male,2,5, Research Director ,3,Unknown,6477,2125,1,Yes,17,3,3,1,Unknown,5,3,31,0,9,1974,Yes,A
683,34,No,Travel_Rarely, Research & Development ,1,5,Unknown,2,Male,3,1, Research Scientist ,4,Married,2691,7660,1,No,12,3,4,1,Unknown,4,2,10,8,8,1989,Yes,A
780,33,Yes,Travel_Rarely,Unknown,1,4,Other,4,Male,3,1, Research Scientist ,4,Single,6477,5207,1,No,13,3,3,0,10,2,2,10,7,8,1990,No,A
817,33,No,Travel_Rarely, Research & Development ,7,3,Medical,3,Male,3,3, Research Director ,3,Married,6477,25995,0,No,11,3,4,0,Unknown,3,4,13,3,7,1990,Yes,A
901,53,No,Travel_Rarely,Unknown,23,4,Unknown,4,Female,3,4, Research Director ,4,Unknown,6477,20206,6,No,18,3,3,0,33,0,3,12,3,8,1970,Yes,A
944,49,No,Travel_Rarely,Unknown,8,2,Other,1,Female,3,3, Laboratory Technician ,2,Married,7403,22477,4,No,11,3,3,1,29,3,2,26,1,7,1974,No,B
984,35,No,Travel_Rarely,Unknown,21,4,Unknown,3,Male,3,3, Sales Executive ,4,Unknown,6477,6812,6,No,13,3,2,1,Unknown,2,3,10,0,8,1988,No,A
1088,38,No,Travel_Rarely,Unknown,17,1,Life Sciences,3,Female,2,3, Healthcare Representative ,3,Married,8823,24608,0,No,18,3,1,1,20,4,2,19,1,9,1985,No,A
1124,46,No,Travel_Rarely, Sales ,3,1,Marketing,1,Male,3,4, Manager ,3,Married,6477,15596,3,No,12,3,4,1,Unknown,3,3,12,4,9,1977,No,A
1167,42,Yes,Travel_Frequently,Unknown,15,3,Life Sciences,3,Male,3,4, Sales Executive ,1,Single,6477,2447,0,No,12,3,2,0,Unknown,2,2,21,13,14,1981,Yes,B
1184,34,No,Travel_Frequently,Unknown,1,3,Unknown,4,Male,2,2, Healthcare Representative ,1,Single,6477,25755,0,No,20,4,3,0,14,3,3,13,4,9,1989,Yes,B
1252,31,No,Travel_Rarely,Unknown,24,3,Medical,3,Female,2,2, Healthcare Representative ,1,Single,6477,17198,1,No,19,3,2,0,10,2,3,10,1,8,1992,No,B
1267,44,No,Travel_Rarely,Unknown,5,3,Unknown,2,Male,3,5, Manager ,2,Married,18213,8751,7,No,11,3,3,1,26,5,3,22,3,10,1979,Yes,B
1278,55,No,Non-Travel,Unknown,8,1,Unknown,4,Male,2,4, Healthcare Representative ,2,Divorced,13577,25592,1,Yes,15,3,4,1,Unknown,3,3,33,15,0,1968,No,B
1288,44,No,Travel_Rarely,Unknown,4,2,Life Sciences,3,Male,4,5, Manager ,1,Divorced,19190,17477,1,No,14,3,4,2,Unknown,4,2,25,14,13,1979,No,B
1307,39,No,Travel_Rarely,Unknown,13,4,Unknown,3,Female,2,4, Manager ,2,Divorced,17123,17334,6,Yes,13,3,4,2,Unknown,4,3,19,15,2,1984,No,B
1336,55,No,Travel_Rarely,Unknown,2,2,Medical,4,Female,1,5, Manager ,3,Unknown,19187,6992,4,No,14,3,4,1,23,5,3,19,9,11,1968,Yes,A
1352,51,No,Travel_Rarely,Unknown,5,3,Life Sciences,3,Male,3,4, Manager ,2,Unknown,6477,17588,1,No,11,3,2,1,Unknown,2,3,33,0,10,1972,Yes,B
1360,58,Yes,Travel_Rarely,Unknown,14,4,Medical,3,Female,2,3, Manufacturing Director ,1,Married,10008,12023,7,No,14,3,4,0,Unknown,0,2,10,5,9,1965,Yes,B
1419,29,No,Travel_Rarely, Human Resources ,17,3,Unknown,2,Male,2,3, Human Resources ,1,Single,7988,9769,1,No,13,3,1,0,Unknown,3,2,10,0,9,1994,No,B
1478,34,No,Travel_Rarely,Unknown,3,3,Other,4,Male,1,2, Sales Executive ,1,Single,6477,15891,3,No,18,3,4,0,15,2,3,13,3,12,1989,Yes,B
1480,42,No,Travel_Frequently,Unknown,9,2,Unknown,1,Female,3,1, Laboratory Technician ,4,Unknown,6477,16458,1,No,13,3,3,0,12,3,3,12,5,8,1981,Yes,A
1489,34,Yes,Travel_Rarely,Unknown,24,4,Unknown,1,Female,2,2, Sales Executive ,2,Single,6477,7815,0,Yes,23,4,3,0,16,2,4,15,10,10,1989,No,B
1520,54,No,Travel_Frequently,Unknown,11,4,Medical,2,Female,3,4, Manager ,4,Unknown,6477,24456,3,No,20,3,1,1,26,2,3,14,1,12,1969,Yes,A
1535,34,No,Travel_Rarely,Unknown,1,3,Unknown,4,Male,2,3, Sales Executive ,3,Unknown,7083,12288,1,No,14,3,4,0,Unknown,3,3,10,8,6,1989,No,A
1586,29,No,Travel_Rarely,Unknown,3,1,Medical,2,Male,3,1, Laboratory Technician ,1,Single,4723,16213,1,No,18,3,4,0,Unknown,3,3,10,1,5,1994,Yes,B
1596,35,No,Travel_Rarely,Unknown,28,3,Life Sciences,2,Male,4,2, Laboratory Technician ,3,Unknown,3407,25348,1,No,17,3,4,2,Unknown,3,2,10,6,8,1988,Yes,A
1667,35,Yes,Travel_Rarely,Unknown,12,4,Other,4,Male,3,2, Sales Executive ,4,Unknown,6477,10414,3,No,24,4,1,0,13,2,4,11,6,7,1988,Yes,A
1701,34,No,Travel_Rarely,Unknown,19,3,Life Sciences,2,Female,2,1, Research Scientist ,4,Married,2929,20338,1,No,12,3,2,0,10,3,3,10,8,7,1989,Yes,A
1706,43,No,Travel_Rarely,Unknown,2,3,Unknown,4,Male,3,2, Sales Executive ,4,Unknown,6477,6069,1,Yes,17,3,1,1,10,3,3,10,8,8,1980,No,A
1971,43,No,Travel_Rarely,Unknown,11,3,Life Sciences,1,Male,3,3, Healthcare Representative ,3,Married,6477,16873,1,No,17,3,2,1,10,1,3,10,0,9,1980,Yes,A
1976,42,No,Travel_Rarely, Research & Development ,23,2,Unknown,4,Male,2,2, Research Scientist ,3,Single,6477,14811,1,No,12,3,4,0,20,2,3,20,3,7,1981,Yes,A
1985,40,No,Travel_Rarely,Unknown,11,3,Technical Degree,4,Female,3,2, Laboratory Technician ,3,Married,6477,26849,1,No,11,3,1,1,10,2,4,10,9,4,1983,Yes,A
2032,56,Yes,Travel_Rarely, Research & Development ,7,2,Technical Degree,4,Male,3,1, Laboratory Technician ,3,Married,6477,3666,8,No,11,3,4,1,14,4,1,10,9,8,1967,Yes,A
2056,39,No,Travel_Rarely,Unknown,33,1,Marketing,3,Female,2,4, Sales Executive ,4,Unknown,12031,8828,0,No,11,3,1,1,Unknown,2,2,20,9,6,1984,Yes,A
57,30,No,Travel_Frequently,Unknown,1,2,Unknown,3,Female,3,2, Laboratory Technician ,4,Unknown,6477,10781,1,No,23,4,4,0,12,2,3,12,3,7,1993,Yes,A
78,32,No,Travel_Rarely, Research & Development ,1,3,Medical,1,Male,3,2, Manufacturing Director ,4,Married,6162,10877,1,Yes,22,4,2,1,9,3,3,9,7,8,1991,Yes,A
104,30,No,Travel_Rarely,Unknown,1,1,Life Sciences,4,Male,2,2, Laboratory Technician ,4,Married,5126,15998,1,No,12,3,3,2,Unknown,1,3,10,3,0,1993,No,A
118,46,Yes,Travel_Rarely, Sales ,9,2,Medical,3,Male,2,3, Sales Executive ,4,Unknown,9619,13596,1,No,16,3,4,0,9,3,3,9,4,7,1977,No,A
121,30,No,Travel_Rarely,Unknown,4,2,Unknown,3,Female,2,2, Sales Executive ,2,Unknown,6477,19760,1,Yes,12,3,2,3,11,4,2,11,2,7,1993,No,B
125,32,No,Travel_Rarely,Unknown,6,4,Unknown,2,Male,3,2, Sales Executive ,3,Single,5010,24301,1,No,16,3,1,0,12,0,3,11,5,7,1991,Yes,A
207,32,No,Travel_Rarely,Unknown,8,3,Marketing,2,Female,3,3, Sales Executive ,4,Single,6477,15589,1,No,14,3,4,0,9,2,3,9,3,7,1991,Yes,A
227,41,No,Travel_Rarely, Research & Development ,34,3,Life Sciences,1,Male,3,1, Research Scientist ,3,Divorced,6477,4609,4,No,12,3,1,1,Unknown,2,3,9,1,8,1982,Yes,A
253,40,No,Travel_Rarely,Unknown,4,1,Medical,4,Female,3,5, Manager ,3,Unknown,19033,6499,1,No,14,3,2,1,21,2,3,20,9,9,1983,No,A
264,45,No,Travel_Rarely,Unknown,2,2,Unknown,1,Male,2,4, Manager ,4,Married,6477,20462,9,No,23,4,4,1,22,1,3,20,11,8,1978,Yes,A
291,32,Yes,Travel_Rarely,Unknown,4,4,Unknown,4,Male,1,3, Sales Executive ,4,Married,10400,25812,1,No,11,3,3,0,14,2,2,14,9,8,1991,No,A
292,30,No,Non-Travel, Research & Development ,1,1,Life Sciences,3,Male,2,3, Manufacturing Director ,3,Unknown,6477,20925,1,No,22,4,3,0,Unknown,2,3,11,5,8,1993,Yes,A
306,37,No,Travel_Rarely,Unknown,11,3,Unknown,2,Male,3,3, Research Director ,4,Unknown,6477,10056,1,No,14,3,3,3,Unknown,1,3,10,0,7,1986,Yes,A
335,40,No,Travel_Rarely,Unknown,24,2,Technical Degree,1,Male,3,2, Research Scientist ,4,Unknown,6477,24447,1,No,17,3,1,2,Unknown,3,3,9,4,7,1983,No,A
420,32,No,Travel_Rarely,Unknown,7,3,Life Sciences,4,Male,2,2, Sales Executive ,3,Married,6477,16985,1,No,14,3,3,1,13,3,2,13,4,8,1991,Yes,A
421,38,No,Travel_Rarely,Unknown,25,2,Life Sciences,1,Female,2,3, Research Director ,2,Unknown,6477,26707,3,No,17,3,3,1,Unknown,2,3,10,0,1,1985,Yes,B
441,30,No,Travel_Rarely,Unknown,28,2,Unknown,4,Female,3,2, Research Scientist ,4,Married,6477,11934,1,No,13,3,4,2,11,2,3,10,1,9,1993,Yes,A
531,39,No,Travel_Rarely,Unknown,1,1,Unknown,2,Male,3,5, Manager ,3,Unknown,19197,8213,1,No,14,3,3,1,21,3,3,21,1,6,1984,Yes,A
549,60,No,Travel_Rarely,Unknown,7,3,Life Sciences,1,Female,3,5, Manager ,1,Unknown,6477,3854,5,No,11,3,4,0,33,5,1,29,11,10,1963,Yes,B
567,30,No,Travel_Rarely,Unknown,22,4,Other,3,Female,3,3, Sales Executive ,1,Unknown,8412,2890,0,No,11,3,3,0,10,3,3,9,7,8,1993,Yes,B
581,31,No,Travel_Rarely, Research & Development ,9,1,Unknown,3,Male,3,3, Manufacturing Director ,2,Divorced,6477,14394,1,No,25,4,4,1,Unknown,6,4,13,0,8,1992,Yes,B
702,33,Yes,Travel_Rarely,Unknown,3,3,Life Sciences,1,Male,3,1, Research Scientist ,1,Single,3348,3164,1,Yes,11,3,1,0,Unknown,3,3,10,9,7,1990,No,B
716,50,No,Travel_Rarely,Unknown,28,1,Medical,4,Male,4,1, Laboratory Technician ,3,Married,6477,3297,1,Yes,11,3,3,3,20,3,3,20,3,8,1973,Yes,A
772,32,No,Travel_Rarely, Research & Development ,24,4,Life Sciences,1,Male,3,2, Laboratory Technician ,4,Unknown,5309,21146,1,No,15,3,4,2,10,2,3,10,4,7,1991,Yes,A
836,42,No,Travel_Rarely,Unknown,29,3,Unknown,2,Male,3,2, Manufacturing Director ,2,Unknown,6477,11806,1,No,13,3,4,1,10,3,2,9,7,8,1981,Yes,B
840,49,Yes,Travel_Rarely, Sales ,11,3,Marketing,3,Female,3,3, Sales Executive ,4,Married,7654,5860,1,No,18,3,1,2,Unknown,3,4,9,7,7,1974,No,A
844,27,No,Travel_Rarely,Unknown,5,1,Unknown,3,Male,2,3, Research Director ,4,Divorced,12808,8842,1,No,16,3,2,1,Unknown,3,3,9,0,8,1996,Yes,A
